Chord Rotation [rads],Axial Shortening [mm]
0,-6.800000e-01
0,-6.800000e-01
0,-6.800000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.800000e-01
0,-6.800000e-01
0,-6.800000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-6.900000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.000000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.200000e-01
0,-7.200000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.200000e-01
0,-7.200000e-01
0,-7.200000e-01
0,-7.200000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.100000e-01
0,-7.200000e-01
0,-7.200000e-01
0,-7.200000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.300000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.400000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.600000e-01
0,-7.500000e-01
0,-7.500000e-01
0,-7.600000e-01
0,-7.600000e-01
0,-7.600000e-01
0,-7.600000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.700000e-01
0,-7.800000e-01
0,-7.800000e-01
0,-7.800000e-01
0,-7.800000e-01
0,-7.800000e-01
0,-7.800000e-01
0,-7.800000e-01
0,-7.800000e-01
0,-7.800000e-01
0,-7.900000e-01
0,-7.900000e-01
0,-7.900000e-01
0,-7.900000e-01
0,-7.900000e-01
0,-7.900000e-01
0,-7.900000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.000000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.100000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.200000e-01
0,-8.300000e-01
0,-8.300000e-01
1.000000e-04,-8.300000e-01
1.000000e-04,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.300000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.400000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.500000e-01
1.000000e-04,-8.500000e-01
1.000000e-04,-8.500000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.500000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.500000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.600000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
1.000000e-04,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.700000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.800000e-01
0,-8.900000e-01
0,-8.900000e-01
0,-8.900000e-01
0,-8.900000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
0,-8.800000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.800000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.900000e-01
0,-8.900000e-01
0,-8.900000e-01
0,-8.900000e-01
0,-8.900000e-01
0,-8.900000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-8.900000e-01
1.000000e-04,-9.000000e-01
1.000000e-04,-9.000000e-01
1.000000e-04,-9.000000e-01
0,-9.000000e-01
0,-8.900000e-01
0,-8.900000e-01
0,-8.900000e-01
0,-9.000000e-01
0,-9.000000e-01
0,-9.000000e-01
0,-9.000000e-01
0,-9.000000e-01
0,-9.000000e-01
0,-9.000000e-01
1.000000e-04,-9.000000e-01
1.000000e-04,-9.000000e-01
1.000000e-04,-9.000000e-01
1.000000e-04,-9.000000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.100000e-01
1.000000e-04,-9.200000e-01
0,-9.200000e-01
0,-9.200000e-01
0,-9.200000e-01
1.000000e-04,-9.300000e-01
1.000000e-04,-9.300000e-01
1.000000e-04,-9.300000e-01
0,-9.400000e-01
0,-9.400000e-01
1.000000e-04,-9.400000e-01
1.000000e-04,-9.400000e-01
1.000000e-04,-9.500000e-01
1.000000e-04,-9.500000e-01
1.000000e-04,-9.500000e-01
1.000000e-04,-9.500000e-01
1.000000e-04,-9.600000e-01
1.000000e-04,-9.600000e-01
1.000000e-04,-9.600000e-01
1.000000e-04,-9.600000e-01
1.000000e-04,-9.600000e-01
1.000000e-04,-9.600000e-01
1.000000e-04,-9.600000e-01
1.000000e-04,-9.600000e-01
1.000000e-04,-9.700000e-01
1.000000e-04,-9.700000e-01
1.000000e-04,-9.700000e-01
1.000000e-04,-9.700000e-01
1.000000e-04,-9.700000e-01
1.000000e-04,-9.700000e-01
1.000000e-04,-9.700000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.800000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-9.900000e-01
1.000000e-04,-1
1.000000e-04,-1
1.000000e-04,-1.010000e+00
1.000000e-04,-1.010000e+00
1.000000e-04,-1.010000e+00
1.000000e-04,-1.010000e+00
1.000000e-04,-1.010000e+00
1.000000e-04,-1.010000e+00
1.000000e-04,-1.010000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.020000e+00
1.000000e-04,-1.030000e+00
1.000000e-04,-1.030000e+00
1.000000e-04,-1.030000e+00
1.000000e-04,-1.040000e+00
1.000000e-04,-1.040000e+00
1.000000e-04,-1.040000e+00
1.000000e-04,-1.040000e+00
1.000000e-04,-1.040000e+00
1.000000e-04,-1.040000e+00
1.000000e-04,-1.040000e+00
1.000000e-04,-1.040000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.050000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.060000e+00
1.000000e-04,-1.070000e+00
1.000000e-04,-1.070000e+00
1.000000e-04,-1.070000e+00
1.000000e-04,-1.070000e+00
1.000000e-04,-1.070000e+00
1.000000e-04,-1.070000e+00
1.000000e-04,-1.080000e+00
1.000000e-04,-1.070000e+00
1.000000e-04,-1.070000e+00
1.000000e-04,-1.080000e+00
1.000000e-04,-1.080000e+00
1.000000e-04,-1.080000e+00
1.000000e-04,-1.080000e+00
1.000000e-04,-1.080000e+00
1.000000e-04,-1.080000e+00
1.000000e-04,-1.080000e+00
1.000000e-04,-1.090000e+00
1.000000e-04,-1.090000e+00
1.000000e-04,-1.090000e+00
1.000000e-04,-1.090000e+00
1.000000e-04,-1.090000e+00
1.000000e-04,-1.090000e+00
1.000000e-04,-1.090000e+00
1.000000e-04,-1.090000e+00
1.000000e-04,-1.090000e+00
1.000000e-04,-1.100000e+00
1.000000e-04,-1.100000e+00
1.000000e-04,-1.100000e+00
1.000000e-04,-1.100000e+00
1.000000e-04,-1.100000e+00
1.000000e-04,-1.110000e+00
1.000000e-04,-1.110000e+00
1.000000e-04,-1.110000e+00
1.000000e-04,-1.110000e+00
1.000000e-04,-1.110000e+00
1.000000e-04,-1.110000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.120000e+00
1.000000e-04,-1.130000e+00
1.000000e-04,-1.130000e+00
1.000000e-04,-1.130000e+00
1.000000e-04,-1.130000e+00
1.000000e-04,-1.130000e+00
1.000000e-04,-1.130000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.140000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.150000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.160000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.170000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.180000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.190000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.200000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.210000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.220000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.230000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.240000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.250000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.260000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.270000e+00
1.000000e-04,-1.280000e+00
1.000000e-04,-1.280000e+00
1.000000e-04,-1.280000e+00
1.000000e-04,-1.280000e+00
1.000000e-04,-1.280000e+00
1.000000e-04,-1.280000e+00
1.000000e-04,-1.280000e+00
1.000000e-04,-1.280000e+00
1.000000e-04,-1.280000e+00
