Chord Rotation [rads],Axial Shortening [mm]
0,2.000000e-02
0,0
0,1.000000e-02
0,0
0,2.000000e-02
0,0
0,2.000000e-02
0,1.000000e-02
0,0
0,1.000000e-02
0,1.000000e-02
0,1.000000e-02
0,0
0,2.000000e-02
0,1.000000e-02
0,0
0,1.000000e-02
0,3.000000e-02
0,1.000000e-02
0,4.000000e-02
0,1.000000e-02
0,1.000000e-02
0,2.000000e-02
0,2.000000e-02
0,2.000000e-02
0,0
0,1.000000e-02
0,0
0,-2.000000e-02
0,4.000000e-02
0,2.000000e-02
0,2.000000e-02
0,2.000000e-02
0,1.000000e-02
0,0
0,1.000000e-02
0,2.000000e-02
0,1.000000e-02
0,2.000000e-02
0,1.000000e-02
0,1.000000e-02
0,2.000000e-02
0,3.000000e-02
0,1.000000e-02
0,3.000000e-02
0,1.000000e-02
0,0
0,1.000000e-02
0,1.000000e-02
0,1.000000e-02
0,3.000000e-02
0,2.000000e-02
0,1.000000e-02
0,1.000000e-02
0,0
0,1.000000e-02
0,3.000000e-02
0,1.000000e-02
0,1.000000e-02
0,2.000000e-02
0,3.000000e-02
0,2.000000e-02
0,3.000000e-02
0,0
0,1.000000e-02
0,1.000000e-02
0,2.000000e-02
0,1.000000e-02
0,4.000000e-02
0,1.000000e-02
0,0
0,4.000000e-02
0,3.000000e-02
0,0
0,4.000000e-02
0,-1.000000e-02
0,1.000000e-02
0,4.000000e-02
0,0
0,1.000000e-02
0,2.000000e-02
0,2.000000e-02
0,2.000000e-02
0,1.000000e-02
0,2.000000e-02
0,0
0,0
0,1.000000e-02
0,0
0,1.000000e-02
0,2.000000e-02
0,2.000000e-02
0,1.000000e-02
0,4.000000e-02
0,-1.000000e-02
0,4.000000e-02
0,3.000000e-02
0,1.000000e-02
0,1.000000e-02
0,1.000000e-02
0,0
0,2.000000e-02
0,2.000000e-02
0,2.000000e-02
0,1.000000e-02
0,2.000000e-02
0,1.000000e-02
0,0
0,1.000000e-02
0,0
0,4.000000e-02
0,1.000000e-02
0,0
0,1.000000e-02
0,1.000000e-02
0,2.000000e-02
0,1.000000e-02
0,2.000000e-02
0,1.000000e-02
0,2.000000e-02
0,2.000000e-02
0,0
0,2.000000e-02
0,2.000000e-02
0,1.000000e-02
0,4.000000e-02
0,1.000000e-02
0,4.000000e-02
0,0
0,1.000000e-02
0,0
0,3.000000e-02
0,1.000000e-02
0,2.000000e-02
0,1.000000e-02
0,4.000000e-02
